"id","valor","moeda","cripto","data_atual"
1,84429.645,USD,BTC,2025-03-15 14:26:37.941
2,84439.965,USD,BTC,2025-03-15 14:26:50.504
3,84439.995,USD,BTC,2025-03-15 14:27:02.984
4,84439.995,USD,BTC,2025-03-15 14:27:15.490
5,84449.985,USD,BTC,2025-03-15 14:27:28.389
6,84471.55,USD,BTC,2025-03-15 14:27:40.678
7,84471.215,USD,BTC,2025-03-15 14:27:52.663
8,84479.955,USD,BTC,2025-03-15 14:28:04.959
9,84479.875,USD,BTC,2025-03-15 14:28:17.567
10,84471.815,USD,BTC,2025-03-15 14:28:29.515
11,84467.815,USD,BTC,2025-03-15 14:28:42.031
12,84468.655,USD,BTC,2025-03-15 14:28:54.468
13,84476.745,USD,BTC,2025-03-15 14:29:06.615
14,84480.32,USD,BTC,2025-03-15 14:29:18.494
15,84481.7,USD,BTC,2025-03-15 14:29:30.531
16,84483.665,USD,BTC,2025-03-15 14:29:43.516
17,84483.735,USD,BTC,2025-03-15 14:29:55.495
18,84483.715,USD,BTC,2025-03-15 14:30:07.767
19,84487.555,USD,BTC,2025-03-15 14:30:20.022
20,84468.955,USD,BTC,2025-03-15 14:30:31.925
21,84462.01,USD,BTC,2025-03-15 14:30:43.898
22,84454.265,USD,BTC,2025-03-15 14:30:56.167
23,84437.24,USD,BTC,2025-03-15 14:31:08.168
24,84194.755,USD,BTC,2025-03-15 16:15:09.502
25,84345.535,USD,BTC,2025-03-15 18:10:52.527
26,84325.835,USD,BTC,2025-03-15 18:11:05.807
27,84325.835,USD,BTC,2025-03-15 18:11:18.324
28,84325.835,USD,BTC,2025-03-15 18:11:30.396
29,84334.92,USD,BTC,2025-03-15 18:11:42.789
30,84343.315,USD,BTC,2025-03-15 18:11:54.682
31,84343.615,USD,BTC,2025-03-15 18:12:07.031
32,84346.535,USD,BTC,2025-03-15 18:12:19.043
33,84313.025,USD,BTC,2025-03-15 18:12:31.698
34,84301.265,USD,BTC,2025-03-15 18:12:44.136
35,84302.525,USD,BTC,2025-03-15 18:12:56.428
36,84301.605,USD,BTC,2025-03-15 18:13:08.911
37,84301.605,USD,BTC,2025-03-15 18:13:21.640
38,84308.105,USD,BTC,2025-03-15 18:13:34.224
39,84308.165,USD,BTC,2025-03-15 18:13:46.806
40,84308.28,USD,BTC,2025-03-15 18:13:59.417
41,84308.165,USD,BTC,2025-03-15 18:14:11.468
